Actor,file_name,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,ZCR,emotion
Actor_09,03-01-06-01-01-01-09.wav,-830.15466,65.553635,8.614589,18.598824,9.240534,19.702557,0.17140412,7.2024517,-2.5417113,1.151043,4.8310575,0.27352858,0.9447374,0.19699347,4.3052497,0.78214854,-3.1057534,2.2094767,1.7709105,0.5094439,0.05824474360318792,fearful
Actor_17,03-01-08-01-02-01-17.wav,-587.17395,58.460247,-3.6971166,21.5881,-1.436186,11.08635,1.1631912,9.0602665,-4.816523,-4.22627,-3.6644094,1.4948052,0.17882736,-4.507521,-3.1014464,0.89546126,-3.173903,-2.5765855,-1.030448,-3.824692,0.07348323773734178,surprised
Actor_22,03-01-08-01-01-02-22.wav,-602.3053,61.9714,-9.374262,0.07773893,-7.9333234,3.2238536,-12.568552,-6.563224,-9.380169,-7.5208745,-9.826356,-3.3657813,-2.1146266,-10.018361,-5.6913176,-1.603508,-10.4141035,1.1479576,-3.6172729,-4.669608,0.06920038479477612,surprised
Actor_18,03-01-06-02-01-01-18.wav,-502.31,49.060562,-26.738482,-3.0020971,-14.048622,2.012097,-13.70061,-4.179733,-6.1206675,-11.116525,-12.501085,-0.30598035,0.96538705,-8.640902,-7.2570057,0.92466384,-3.455705,-2.6763623,-0.05678756,-0.7132373,0.09057825854700854,fearful
Actor_06,03-01-03-01-01-01-06.wav,-652.02704,94.69933,-29.828402,-4.882602,13.840915,5.2129054,-20.845322,-12.188813,-10.927517,-9.06096,-0.98933744,0.9480407,-10.48848,-7.310635,-2.0954385,-2.2120013,-6.096438,-0.2882183,-5.5601654,-6.952212,0.0756335890436747,happy
Actor_12,03-01-02-01-02-02-12.wav,-693.7057,67.95178,-0.38780817,13.6174135,0.73230034,11.593903,-7.825334,1.33426,-7.548837,-7.629045,-4.371366,-3.0597057,-6.936396,-2.6916785,-5.820072,-7.8677917,-3.6793995,0.5562191,-5.981216,-8.417076,0.08781136775362319,calm
Actor_06,03-01-05-02-01-01-06.wav,-374.82858,45.08974,-35.61872,-16.695122,-11.255357,-4.590291,-20.95162,-5.1012225,-8.588924,-10.689441,-3.8886225,2.3984988,0.39810807,3.9521084,9.989937,9.407905,2.4654741,3.2959206,-6.1155906,-0.98518574,0.10597985998376623,angry
Actor_23,03-01-06-02-02-01-23.wav,-538.9804,58.07244,-13.123165,5.1794643,-3.913746,10.765169,-11.142844,-3.485819,-7.5119243,-6.6292934,-8.047451,-4.9638176,-0.7870625,-3.794211,-8.740631,-0.7446841,-2.8443763,-5.2199807,-2.4546506,-1.9591644,0.08280229710820895,fearful
Actor_14,03-01-08-02-02-01-14.wav,-618.6074,41.666664,-6.4006567,2.471067,-7.901647,-0.47676998,-16.783922,1.1726749,-14.653722,-4.1174574,-4.9195967,-5.478855,-5.976254,-5.4387703,-5.391055,-1.0659307,-2.1206582,-2.1534896,-3.4449182,-1.8426938,0.09445856905531609,surprised
Actor_08,03-01-02-02-02-01-08.wav,-740.8795,75.02702,15.722651,25.33917,7.656649,16.88337,-1.7680542,15.706873,-3.8716726,-0.05128616,-1.360598,-1.504559,1.0964249,-3.885503,-4.3579173,0.7053354,-2.2795587,-1.5178372,-3.270873,-2.4233904,0.06240375905797101,calm
Actor_17,03-01-04-01-02-01-17.wav,-667.53394,88.07489,6.553885,17.171213,11.285568,16.446842,-0.3103255,14.623787,3.0518107,-5.7070775,-2.1317105,4.1744156,0.286216,-3.74602,3.0958843,5.797969,0.110811874,-1.0607761,0.8718808,0.01839299,0.07085471082089552,sad
Actor_20,03-01-03-02-02-01-20.wav,-497.91278,43.589058,-26.594019,-3.3010385,-8.187171,-7.3591514,-17.114447,-7.5810094,-14.437506,-11.308442,-4.5763674,-3.0049222,-3.1286063,-1.0928457,-2.6287255,-1.2870753,1.242249,-2.2940972,-3.8248339,1.3541666,0.0719872318097015,happy
Actor_22,03-01-06-02-01-01-22.wav,-529.67175,50.038105,-23.27859,1.3075831,-10.355022,-1.2888885,-12.902332,-11.063308,-11.848652,-9.885729,-10.412309,-2.9315248,-6.4587045,-10.100991,-7.198637,-1.3633751,-8.247987,0.037588138,-2.0620925,-7.2352605,0.08129955690298507,fearful
